municipio,planta_asignada_euc,euclidean_distance,planta_asignada_net,real_distance,distance_improvement,ratio_improvement
Villanueva de la Serena,17,7697.864914958575,3,17137.7734996,-9439.908584641424,0.4491753211196452
Zafra,5,9058.518751144427,9,13791.7663832,-4733.2476320555725,0.6568062784313671
Villafranca de los Barros,1,9186.530554972544,2,9801.7286769,-615.1981219274567,0.9372357527731501
Jerez de los Caballeros,8,22237.440080135053,5,32114.5209711,-9877.080890964946,0.6924419050231708
Alburquerque,39,29579.85689793988,18,41640.5165257,-12060.659627760117,0.710362391390692
Oliva de la Frontera,8,28886.31930302103,5,49231.5832382,-20345.26393517897,0.5867436593143611
Fuente de Cantos,5,19184.962317431386,10,27807.3720877,-8622.409770268616,0.6899236021629475
Santa Amalia,38,16050.78490786989,3,21165.5675507,-5114.782642830112,0.7583441771368444
Zalamea de la Serena,6,9841.280878619746,15,16478.1597548,-6636.878876180253,0.5972317919634826
Hornachos,12,13757.275895333278,2,16645.636288,-2888.360392666724,0.826479424235109
Zah¡nos,8,34622.18520358762,13,48823.1252513,-14200.940047712378,0.7091349647402129
Solana de los Barros,9,24372.08128640913,14,27640.8112099,-3268.729923490868,0.8817426196840373
Valdelacalzada,4,5783.654776027909,18,25482.5956073,-19698.94083127209,0.2269649004817651
Higuera la Real,8,5919.874828587839,5,60809.5740084,-54889.69917981216,0.09735103271353439
Bienvenida,10,17907.198368247646,2,33064.2365839,-15157.038215652352,0.5415881392818008
Salvaleón,9,28212.110599365536,13,39703.631184,-11491.520584634462,0.7105675163216462
Pueblonuevo del Guadiana,4,2878.6148999979337,18,17642.6767016,-14764.061801602067,0.16316202743412933
Puebla de Obando,4,33316.79088338731,18,43667.0884925,-10350.297609112691,0.7629725734773822
Usagre,10,18896.901053398666,2,24923.2796511,-6026.378597701336,0.7582028255484684
Oliva de Mérida,12,26073.570300097566,1,32404.4389955,-6330.868695402434,0.8046295849688494
Roca de la Sierra. La,4,24371.522884994625,18,34585.1994405,-10213.676555505375,0.7046807096464234
Campillo de Llerena,6,30311.59366618093,10,42735.0321746,-12423.438508419069,0.7092914670647407
Villar de Rena,38,11550.92963352235,17,19675.7205342,-8124.790900677652,0.5870651401784611
Valle de la Serena,6,12737.672270779422,15,30617.6914144,-17880.01914362058,0.4160232755102067
Valdecaballeros,45,26825.871607729823,11,67269.8220883,-40443.95048057018,0.39878017772244934
Valle de Santa Ana,5,27237.20526670436,9,49431.2028463,-22193.99757959564,0.5510123909263338
Castilblanco,45,33986.75436755587,11,57663.1372143,-23676.382846744127,0.589401756641285
Higuera de la Serena,6,12594.668086312591,15,21664.0202503,-9069.352163987409,0.5813633822714961
Villagarcía de la Torre,10,8686.416190864886,2,37153.5768489,-28467.16065803511,0.23379757556565012
Puebla de la Reina,12,14952.330523197825,1,24039.8678423,-9087.537319102174,0.6219805625090854
Valencia del Mombuey,8,44390.7985674346,5,69191.165712,-24800.367144565404,0.6415674329322043
Palomas,12,15724.087577468328,1,20293.7016081,-4569.614030631672,0.7748259968103718
Rena,38,13453.628722671345,17,16858.8660717,-3405.2373490286536,0.7980150423791059
Malpartida de la Serena,6,7456.006371409078,15,11885.4043739,-4429.398002490922,0.6273245854202697
Puebla del Prior,12,2319.326328094571,2,3995.5533892,-1676.2270611054287,0.5804768707042487
Retamal de Llerena,6,23763.070342169063,15,35939.8272777,-12176.756935530939,0.6611904436422712
Miajadas,36,1408.3579036727658,43,2777.5606524,-1369.2027487272342,0.5070484788355024
Hervás,23,5530.491995688884,22,30217.2119261,-24686.719930411116,0.1830245625974494
Torrejoncillo,32,5453.501930441895,29,36498.8907198,-31045.388789358105,0.14941555271660534
Valverde del Fresno,20,26658.177754455533,31,47376.3029691,-20718.125214644464,0.562690123200256
Garrovillas de Alconétar,30,17571.93704114491,44,27803.8620214,-10231.924980255091,0.6319962682745364
Aliseda,44,21401.042694570595,46,32412.6044371,-11011.561742529404,0.6602691473343811
Madrigalejo,36,23231.277452799444,45,40595.617573,-17364.34012020056,0.5722607227497996
Cilleros,20,13208.346987056766,31,36742.6365574,-23534.289570343237,0.3594828304284166
Torreorgaz,41,18176.03946443665,46,24301.743199,-6125.703734563351,0.747931509093742
Alcántara,24,15653.582632379288,44,18093.6657855,-2440.083153120713,0.865141581476753
Piornal,22,12022.796984810511,26,24370.0133986,-12347.216413789489,0.4933438807834711
Ahigal,25,20800.63896164581,23,26839.3747823,-6038.73582065419,0.7750046016482989
Rosalejo,27,13472.51264202359,34,27305.9254238,-13833.41278177641,0.49339154168643823
Riolobos,30,15505.010654409904,29,21348.5184237,-5843.507769290096,0.7262804072247495
Eljas,20,24438.56204978513,31,48340.4084688,-23901.84641901487,0.5055514180348379
Torno. El,23,14322.686959344876,22,27644.0311796,-13321.344220255123,0.5181113733482673
Hoyos,20,14526.576842882252,31,25783.6229247,-11257.046081817749,0.5634032457465933
Perales del Puerto,20,11830.765635950713,31,25448.2233326,-13617.457696649286,0.4648955442321633
San Martín de Trevejo,20,21561.6702646914,31,46388.7862436,-24827.1159789086,0.464803501248454
Cuacos de Yuste,28,6862.607009583779,26,11322.1571708,-4459.550161216221,0.6061218640633728
Garciaz,45,15767.218168747631,19,34366.4648052,-18599.246636452364,0.45879662799537907
Santibáñez el Bajo,25,17461.596159566805,23,30573.1330807,-13111.536921133196,0.5711418621531413
Saucedilla,35,4856.073682651335,37,5793.6562871,-937.5826044486648,0.8381708271965906
Aldeacentenera,40,19804.4193632345,19,35411.321204,-15606.901840765498,0.5592680162692554
Valdeobispo,25,10673.82814002655,29,19056.0859796,-8382.25783957345,0.5601269931009516
Holguera,30,12080.71724205791,29,25914.8423044,-13834.125062342091,0.4661698149715062
Aldea del Cano,41,14189.116902632792,46,29619.2696396,-15430.152736967208,0.4790501952034092
Baños de Montemayor,23,8156.797554149127,22,38356.7927253,-30199.995171150877,0.2126558811255596
Navezuelas,42,13299.67565016626,45,33337.9782234,-20038.30257323374,0.39893467927311765
Acebo,20,17744.29223587298,31,27681.7909556,-9937.49871972702,0.6410095453843215
Villamiel,20,18507.396341966763,31,38401.6876267,-19894.291284733234,0.48194226571175236
Villar del Pedroso,42,22228.37196587487,34,49609.5430012,-27381.17103532513,0.44806645296726866
Belvís de Monroy,37,6583.034663451048,34,11493.7538129,-4910.7191494489525,0.5727488834903169
Casas del Castañar,22,15465.778658437011,29,27261.9764648,-11796.197806362987,0.5673021792240944
Guijo de Granadilla,29,21025.916153106205,23,25566.8397761,-4540.923622993796,0.8223901091116207
Plasenzuela,19,17218.687581036513,41,29174.0672986,-11955.379717563486,0.5902052464883016
Villanueva de la Sierra,31,12478.860085144168,25,18672.2166128,-6193.356527655831,0.6683116602551504
Garganta. La,23,11306.4723927699,22,44700.1641144,-33393.6917216301,0.2529402881795586
Casillas de Coria,20,9380.915089935264,32,17448.3347193,-8067.4196293647365,0.5376395650846164
Valdelacasa de Tajo,42,16812.977447394776,34,41075.3962838,-24262.418836405224,0.4093199084734274
Palomero,21,17307.945081603146,25,31917.6789183,-14609.733836696854,0.542268287299539
Robledillo de Trujillo,36,14204.48833736106,41,23422.6469199,-9218.15858253894,0.6064424907200755
Villamesías,36,9728.218970219412,43,14914.6615299,-5186.442559680589,0.6522587824548934
Santiago del Campo,46,13534.977889247635,30,25411.971935,-11876.994045752366,0.5326221012626675
Peraleda de San Román,42,12876.66485330482,34,29942.6213366,-17065.95648329518,0.43004467473143987
Portezuelo,30,8963.644759146018,32,15404.6667939,-6441.022034753982,0.5818785228574679
Cerezo,21,17178.14233237469,23,30463.7482532,-13285.60592082531,0.5638880084485417
Mesas de Ibor,37,13199.205777947926,34,27388.2788358,-14189.073057852074,0.48192899806083717
Gargüera,26,15451.83158367996,29,25136.1754149,-9684.343831220041,0.614724846904138
Valdecañas de Tajo,37,7892.089538057373,34,36125.4541537,-28233.364615642626,0.21846339991961206
Garvín,42,12479.12968888813,34,34280.1376132,-21801.00792431187,0.3640338271011749
Campillo de Deleitosa,42,14388.047901043325,34,41006.7781391,-26618.730238056676,0.35086999159595783
