Municipality,Plant,NetworkDistance,EuclideanDistance,Ratio,Note
Badajoz,18,10401.7981322,4914.254786676754,2.1166582897575354,
Mérida,14,38409.2889034,4150.340886195773,9.254490162760144,
Don Benito,3,8110.5638814,4663.700704458815,1.7390832721417455,
Almendralejo,9,21513.8872336,19458.87872222596,1.105607755755567,
Montijo,4,26089.832051,13315.474135449896,1.9593618511518736,
Olivenza,13,3165.8605649,2540.5276381197345,1.2461429340099917,
Azuaga,10,39019.7364178,30992.85369642065,1.258991404922044,
Santos de Maimona. Los,9,13934.5366904,10041.374625953798,1.3877120622891215,
Guareña,3,37302.4275422,21810.169684419063,1.7103226651578245,
Fuente del Maestre,9,2678.4297041,2027.5175782390493,1.321038955640663,
Castuera,15,2880.4820734,1944.4444874877684,1.4813907478128094,
Calamonte,14,2777.7687512,2657.79725735668,1.0451394452722997,
Llerena,10,2715.1680274,1467.0347766759348,1.850786409816497,
Puebla de la Calzada,4,26745.1021945,12229.782355578029,2.186882923742425,
San Vicente de Alcántara,39,14848.4705568,10333.87112730529,1.4368739820613534,
Aceuchal,9,19997.2444242,15027.985760123383,1.33066697981991,
Talavera la Real,4,3209.9602731,2363.1286637128314,1.358351884258671,
Cabeza del Buey,7,1539.6750519,1195.377473526004,1.2880241480194718,
Campanario,17,13191.1562309,12384.691970797665,1.0651178294949868,
Fregenal de la Sierra,8,3426.4818357,2641.970081170975,1.296941952567954,
Quintana de la Serena,6,2568.0310404,1017.408236591049,2.524091065946648,
Navalvillar de Pela,45,33527.8778526,26419.994735854943,1.2690342366760146,
Monesterio,10,34135.9940873,26385.42987974599,1.2937440944823684,
Santa Marta,9,32747.0820169,18013.026626755032,1.8179666690915919,
Arroyo de San Serván,14,10352.9811075,8458.290533810423,1.22400395991553,
Valverde de Leganés,13,10714.8409813,8198.57055791227,1.3069157489849654,
Barcarrota,13,31781.1182354,27347.297891374303,1.1621301073925911,
Herrera del Duque,11,41867.2312026,21654.01401204045,1.933462829539144,
Villanueva del Fresno,13,42261.2183378,35572.959912619546,1.1880152352126252,
Talarrubias,11,16771.9594239,14453.49806538981,1.1604083210874712,
Zarza. La,14,30386.0119334,18494.37782642704,1.6429864372069187,
Ribera del Fresno,2,599.1625206,507.8512614538078,1.179799216969155,
Burguillos del Cerro,5,12557.4356728,10239.075328993084,1.226422823283878,
Orellana la Vieja,17,25732.9822141,17349.880188732423,1.4831792458608353,
Puebla de Sancho P‚rez,5,16650.8461613,7955.418909884289,2.0930194060066394,
Lobón,4,18797.0608856,13693.286858202278,1.3727208872675125,
Monterrubio de la Serena,16,6048.9566014,3545.115595877848,1.7062790867619497,
Fuentes de León,8,17385.6661278,12476.085121910028,1.3935193578687557,
Garrovilla. La,14,17954.9690776,7696.807884513601,2.332781244771145,
Berlanga,10,28292.7523103,18397.78328712889,1.5378348504677541,
Villar del Rey,18,27718.4357519,25772.446889776424,1.0755065621221835,
Granja de Torrehermosa,16,44021.0463071,31686.87007402976,1.3892519584374856,
Medell¡n,3,17051.076752,10095.22632319643,1.6890237233038234,
Codosera. La,39,35394.5134733,23793.1262442104,1.4875940685563578,
Valencia del Ventoso,5,17505.7821345,10242.678485975046,1.7091019852346316,
Coronada. La,17,5438.5785014,4864.330925448042,1.1180527362864536,
Torremej¡a,14,16068.2475932,13702.503547375643,1.1726504968705118,
Siruela,11,3687.4448453,3253.024848357282,1.1335433995107944,
Higuera de Vargas,13,34603.2753077,28067.820991878576,1.2328450903870471,
Segura de León,8,11361.0517047,9255.476273020911,1.2274950925882333,
Alange,14,24966.8330052,18755.13219614948,1.331200054688274,
Albuera. La,4,22465.3687338,20649.391651879658,1.0879433695934109,
Fuenlabrada de los Montes,11,33618.0158553,22040.378251680435,1.5252921465962974,
Alconchel,13,22273.9776364,18948.21447747816,1.1755185515170752,
Salvatierra de los Barros,9,26764.557837,19427.994936629995,1.3776284132408063,
Villalba de los Barros,9,14889.6061003,11714.745000134291,1.2710141023239783,
Casas de Don Pedro,11,33489.3263813,25282.954473122987,1.3245812081377115,
Esparragalejo,14,13499.5465227,5336.021238277295,2.5298899535599024,
Montemolín,10,28423.9395481,18162.110574112045,1.5650130215931504,
Cabeza la Vaca,8,23303.7601647,19595.77532372632,1.189223686213839,
Trujillanos,14,16622.2856685,12085.643982355536,1.3753744271110209,
Parra. La,9,19451.1216502,13889.765957591522,1.4003923255142314,
Mirandilla,14,18470.0903376,13277.890530435514,1.391041016286657,
Haba. La,3,11653.033084,4970.374817506334,2.344497852145162,
Villagonzalo,14,35569.9918657,17656.13178138769,2.0145970989634496,
Feria,9,14715.4742388,8685.736469212608,1.6942114570204094,
Medina de las Torres,5,12467.3509905,6026.207956964354,2.068855087566595,
Valdetorres,3,28456.1828867,18259.338200631788,1.5584454690540424,
Almendral,13,25561.5434475,23286.90733369485,1.097678754899062,
Corte de Peleas,4,26151.7756286,21007.600552486023,1.2448720910920605,
Cheles,13,30650.2310299,26526.5774569616,1.1554536607532153,
Puebla de Alcocer,11,21416.065775,14631.0018421087,1.4637456823608326,
Torre de Miguel Sesmero,13,28335.9300225,25192.444045516284,1.1247789206678098,
Peñalsordo,7,18075.0163156,13142.81913406931,1.3752769577985946,
Valverde de Mérida,14,27914.7305341,14629.283973124326,1.9081405887931744,
Bodonal de la Sierra,8,7259.8062507,5905.708222210945,1.2292863069997921,
Nava de Santiago. La,14,36038.287198,19397.60394642308,1.8578731320393547,
Esparragosa de la Serena,15,12640.1531529,9136.555109522258,1.3834703563191162,
Maguilla,10,26081.8721675,22811.555812891227,1.1433622669770143,
Calera de León,8,32799.8812567,25917.50248103844,1.2655494595089474,
Ahillones,10,20341.6671587,14597.715921530737,1.3934828755433777,
Esparragosa de Lares,11,25664.4921329,15856.738830137936,1.6185227244911837,
Torremayor,14,23120.3231049,12801.214311475182,1.8061039009537265,
Cordobilla de Lácara,41,30955.1828573,24486.014428453924,1.264198505957286,
Benquerencia de la Serena,15,9678.3081995,6811.032914999259,1.4209751032308808,
Llera,2,23141.6940764,19428.81739804233,1.191101527297888,
San Pedro de Mérida,14,23262.7659078,18133.592609592048,1.2828547772433574,
Calzadilla de los Barros,5,32046.9167302,15411.537742307508,2.079410715922611,
Acedera,17,33910.7459662,18486.95848056796,1.834306384246187,
Táliga,13,23137.0963382,18293.310726496024,1.2647845261103141,
Puebla del Maestre,10,24454.3008906,16345.965390280431,1.4960450671907646,
Manchita,3,45832.348449,17977.866844237047,2.549376344040057,
Morera. La,9,23296.1273983,16862.27908971044,1.3815527114905584,
Fuente del Arco,10,16862.8128994,14206.59844307657,1.1869704748090426,
Don Álvaro,14,36786.4257977,12321.334769283168,2.985587721340694,
Alconera,5,7442.0989167,4382.439522363505,1.6981635179956533,
Nogales,9,32961.7894842,26026.82218954756,1.2664546306939286,
Helechosa de los Montes,11,86494.8937622,40521.1102783511,2.134563766097272,
Valverde de Llerena,10,28310.2222079,18063.413333779947,1.56726869306355,
Trasierra,10,6913.3958795,4863.387121293103,1.4215187290420406,
Valencia de las Torres,10,23705.9272609,19695.19747107138,1.2036399886682854,
Garlitos,11,20667.2245175,11045.10182224977,1.871166499874811,
Peraleda del Zaucejo,16,25156.2170577,15780.05180248352,1.5941783571167254,
Magacela,17,12503.1548243,5063.654660889039,2.469195800588974,
Entrín Bajo,4,29754.3436447,20470.32232503053,1.4535356684793004,
Villarta de los Montes,11,117130.6867133,36837.08753722764,3.179694556333409,
Carmonita,41,20965.5425556,16669.36002121502,1.2577293026797218,
Cristina,3,34612.5059647,22604.725950182343,1.5312066176330175,
Hinojosa del Valle,2,10362.2552379,8932.482838830565,1.1600643880169628,
Garbayuela,11,15105.8177777,11332.1102171275,1.3330101356470103,
Mengabril,3,11636.4572063,6891.672642422954,1.6884808391318031,
Malcocinado,10,54902.0381253,31479.724541745352,1.7440444261986554,
Valle de Matamoros,5,40596.6705077,28561.495525222374,1.4213776191043457,
Zarza-Capilla,7,12881.6754816,9876.749252456912,1.3042424336525087,
Higuera de Llerena,10,19994.492515,16670.872811743528,1.199366868237109,
Baterno,11,17136.1621472,15468.441387595964,1.107814402098803,
Atalaya,5,4330.4614947,2845.606962625202,1.5218059105059794,
Valverde de Burguillos,5,9338.0980183,6215.341424022229,1.5024272008949258,
Orellana de la Sierra,17,31068.6149705,21711.4300279053,1.4309796697208836,
Lapa. La,9,20765.1355932,8277.330615959909,2.508675387831165,
Tamurejo,11,15365.0373555,12256.328858867097,1.253641080655554,
Aljucén,14,23940.5723556,15512.46777407552,1.5433116577111963,
Sancti-Spíritus,11,8122.7255646,7491.047520120275,1.0843243942563567,
Reina,10,11175.5151478,8317.343938397375,1.3436398964106506,
Casas de Reina,10,8343.018331,5687.569171910668,1.466886481522521,
Capilla,7,21428.5025775,15052.814712965386,1.4235545302396544,
Risco,11,11731.4237247,7742.484526214607,1.5152014427642173,
Carrascalejo. El,14,19984.258321,13072.64199822258,1.528708452638507,
C ceres,46,11233.9628066,6703.526145136975,1.6758288941335149,
Plasencia,29,5715.5346252,3867.6832880648367,1.4777669730190655,
Navalmoral de la Mata,34,7244.8232865,3414.1679952984555,2.121987932777948,
Coria,32,7626.6581812,6253.856378559428,1.2195128444821748,
Trujillo,19,10958.8891194,2721.137903300105,4.027318536892021,
Talayuela,27,4022.2201749,2863.3537462861927,1.4047234576296668,
Moraleja,20,3086.5879063,1999.5834194183644,1.5436154732658376,
Arroyo de la Luz,46,22808.4594273,13733.279652645228,1.6608166442534185,
Jara¡z de la Vera,26,4754.4990083,3821.904274405429,1.2440131062779312,
Valencia de Alc ntara,39,2594.4903617,912.6329708749053,2.8428628424554554,
Montehermoso,25,3911.9313853,2923.303013938291,1.3381888113028089,
Casar de Cáceres,46,5993.7516064,4808.059210988537,1.2466051983514745,
Malpartida de Plasencia,29,11505.3875663,7319.375029413806,1.5719084648708652,
Malpartida de Cáceres,46,14919.1565708,10314.851501921685,1.4463762825883166,
Jarandilla de la Vera,28,3343.4990986,1806.1482468075887,1.851176449391525,
Alcuéscar,41,9227.3615894,7382.765908713828,1.249851573718328,
Losar de la Vera,28,6817.566301,3350.217049167694,2.034962571363462,
Madroñera,19,15579.8827194,9350.129912169838,1.6662744652479866,
Aldeanueva de la Vera,28,8308.3399886,4988.354492421791,1.665547226289123,
Cabezuela del Valle,22,5506.0993214,2956.3697182343194,1.8624528885678402,
Brozas,44,2947.0385752,1428.6354568694867,2.0628345467903557,
Villanueva de la Vera,28,22740.4997368,15531.366300318616,1.4641660815335669,
Guadalupe,45,29254.6105531,19009.870694169505,1.5389168618633817,
Logrosán,45,1634.1846953,1400.2179625464728,1.1670930805144288,
Sierra de Fuentes,46,21859.0775512,16101.074838798468,1.3576160455155812,
Navaconcejo,22,8544.2702455,5443.637940566029,1.5695882677699846,
Ceclavín,24,4886.1226539,2944.74452517346,1.6592687793900163,
Montánchez,41,2705.1164405,1886.8983979826764,1.4336312137378981,
Almoharín,43,13698.5333268,11531.19551996483,1.1879543021434937,
Galisteo,29,16066.9628908,12557.646484533116,1.279456537543815,
Zarza de Granadilla,23,12169.240856,10924.418082998563,1.113948657360407,
Madrigal de la Vera,28,32222.0285144,23766.806137361786,1.3557576196048688,
Cañamero,45,11875.4601652,9671.617510333124,1.2278670194010772,
Serradilla,33,2552.6116417,1660.4401259758445,1.5373102599528086,
Pinofranqueado,21,20361.2673221,14808.151091448535,1.375004022876178,
Zorita,45,22322.440414,19600.28374934257,1.1388835334972505,
Gata,31,18147.3888512,6870.698527391379,2.6412727583450066,
Guijo de Galisteo,25,8506.4178704,4526.31479095092,1.8793252929306123,
Peraleda de la Mata,34,20259.0920302,10203.84444013285,1.9854371701825195,
Navas del Madro¤o,44,14248.1241983,12013.724814782694,1.185987228604397,
Nuñomoral,21,5951.5073701,4255.982502024241,1.3983862403732463,
Valdefuentes,41,11128.9078941,6365.09809945201,1.748426767382913,
Zarza la Mayor,24,9350.3445954,6984.960019326748,1.3386396728869525,
Casatejada,35,3232.5800317,1057.0612454773568,3.0580820605528904,
Casar de Palomero,21,22899.2230148,11661.809324891634,1.9636080797447604,
Jerte,22,5612.6818648,3383.95947197688,1.658613795844641,
Almaraz,37,1210.9140517,983.4798673839592,1.2312545399846488,
Majadas,35,8771.8151682,7363.519403621555,1.1912530798636602,
Cañaveral,30,2199.0102439,1610.2858552541445,1.365602409488308,
Caminomorisco,21,15534.8482536,10383.883077481849,1.4960538497672768,
Casta¤ar de Ibor,42,1974.1035749,1695.604318571423,1.1642477866317407,
Tornavacas,22,12693.5409973,9649.3499219698,1.3154814676581617,
Torrecillas de la Tiesa,40,18486.3117966,13214.130814674189,1.3989805349944844,
Pesga. La,21,41774.0853916,7476.301023564718,5.587533896766775,
Carcaboso,29,14241.7832209,8892.388958264477,1.601569981671108,
Garganta la Olla,26,13368.659851,9766.77257457366,1.3687899199990914,
Torremocha,41,20316.2136421,12813.225490485973,1.5855659183696655,
Campo Lugar,36,14286.9827621,11427.319890857978,1.250247905769208,
Al¡a,45,39395.680914,26174.025461740926,1.5051441350351484,
Arroyomolinos,41,8468.0629163,5055.483956900703,1.675025178299923,
Monroy,33,31434.0822855,21777.10908562233,1.4434460589745308,
Cumbre. La,19,20891.9975859,10567.003584538885,1.9770976151146702,
Mohedas de Granadilla,21,30008.8411548,13521.455979529428,2.219349839265192,
Talav n,30,25306.5839986,11503.561878726729,2.1998911524437386,
Tejeda de Tiétar,26,17037.3644747,9898.923104984317,1.7211331267056038,
Acehúche,24,17891.9673896,14437.06024918586,1.2393082165469917,
Escurial,36,1692.7146992,1370.087884870536,1.2354789191935305,
Membrío,39,25659.3274465,19676.24975836937,1.3040761202772244,
Deleitosa,42,23054.1995663,18111.14648102235,1.2729287784435512,
Aldeanueva del Camino,23,818.1078529,577.3817666733554,1.4169270664946918,
Albalá,41,3352.3452586,3052.972311394364,1.0980595028943794,
Casas del Monte,23,9582.7239895,7487.486940701435,1.2798318134498519,
Mirabel,33,12777.3871296,10439.875515780264,1.2239022496280247,
Casas de Millán,30,7551.8236784,4703.5596131421335,1.6055550050433254,
Salorino,39,30206.4094786,20658.62619643901,1.46216932294398,
Torrecilla de los Ángeles,31,20025.2562,9239.961874245764,2.167244461886334,
Santiago de Alcántara,39,27010.5247826,21221.21621017572,1.272807576864905,
Pasarón de la Vera,26,13178.0344126,6490.492971229924,2.0303595537370733,
Torre de Santa María,41,7864.2578322,5479.366771094007,1.4352493929932395,
Torremenga,26,7071.1937142,3021.9048427077173,2.3399789478030018,
Zarza de Montánchez,41,18558.496492,12503.93132163728,1.4842129258888097,
Aceituna,25,11263.3355364,9709.826305581346,1.1599935139854844,
Torrejón el Rubio,33,21985.0892803,11054.636693149245,1.9887663331283016,
Torrequemada,41,25042.2576295,15650.38657409956,1.6001047329363363,
Jaraicejo,37,29056.1268469,19226.83555656172,1.51122771926885,
Valverde de la Vera,28,19646.468682,12863.92354244124,1.5272532223299897,
Torre de Don Miguel,31,14210.0615151,6548.229459226297,2.170061633237114,
Pozuelo de Zarzón,25,11772.6759989,9773.428966490452,1.2045594273273221,
Villa del Campo,25,12900.2415673,9605.555965215715,1.34299790808728,
Bohonal de Ibor,34,19946.4381631,12724.499952270511,1.5675616517677642,
Berzocana,45,18528.878601,12138.367411359532,1.5264720512298873,
Casares de las Hurdes,21,13692.619086,9100.431778671636,1.5046120249031385,
Hernán-Pérez,31,14151.0031884,7998.944901234248,1.7691087216035806,
Cadalso,31,3909.3162698,3523.9995201648435,1.109340749744805,
Navalvillar de Ibor,42,8478.2541277,5661.413559494457,1.4975507509924917,
Arroyomolinos de la Vera,26,18566.5306637,9302.83188412552,1.9957934202145673,
Cedillo,39,45472.1296677,34271.05576488202,1.3268377250955852,
Ibahernando,19,15488.2319235,13659.347682736863,1.1338925022806572,
Calzadilla,20,17996.3878518,11210.223071979295,1.605355017134599,
Barrado,26,25686.6011735,12873.481429506111,1.995311160711051,
Villasbuenas de Gata,31,16532.1082144,13048.735764023562,1.266950953208845,
Abertura,36,15500.3981773,11734.124920563834,1.3209675439994544,
Serrejón,37,13653.2214313,10174.787801348648,1.3418679286353563,
Hinojal,30,18625.0877309,9295.063029221928,2.0037613163403227,
Gargantilla,23,4720.4870415,1678.247382225155,2.812748043879681,
Santibáñez el Alto,31,11649.8587185,9266.97188682358,1.2571375915216245,
Cabañas del Castillo,42,32688.8864477,11354.539898070025,2.878926556350932,
Cabezabellosa,23,26698.1868299,15545.642468810362,1.7174064618728553,
Morcillo,25,7000.3139168,5780.784585504573,1.2109625974220557,
Portaje,32,4616.4186386,4280.912702538251,1.07837252459337,
Guijo de Santa Bárbara,28,8135.0044768,4403.447249146839,1.8474172657288321,
Robledollano,42,9511.7280885,6733.121982812707,1.4126772265198964,
Puerto de Santa Cruz,19,16293.4216375,13719.59238470531,1.1876024579027589,
Herreruela,44,37690.8797938,18529.19880231556,2.0341343517286803,
Valdastillas,22,19273.0805891,11853.664834297631,1.625917457471455,
Cabrero,22,27800.5102502,14386.914060015964,1.932347001881594,
Herguijuela,19,17727.126769,11422.01156987186,1.5520144293811877,
Talaveruela de la Vera,28,18521.0056842,10801.82146857633,1.714618755557071,
Granja. La,23,7776.0225656,6554.223060553299,1.186414086575741,
Aldea del Obispo. La,40,15870.7453525,9863.3838585054,1.6090568490664923,
Casas de Don Gómez,20,11157.0212854,6922.458563848014,1.6117136971634112,
Aldehuela de Jerte,29,18430.083179,9718.852304143626,1.8963230021658368,
Gordo. El,34,25480.9530025,19937.33382333003,1.2780521823175275,
Carrascalejo,42,54186.1986138,18881.79882183086,2.869758285484469,
Mata de Alcántara,44,16736.7263245,13417.92847331757,1.2473405531846498,
Fresnedoso de Ibor,42,17187.7935023,8682.243362162704,1.9796488977957656,
Abadía,23,5139.7371555,4400.55063718467,1.1679759146660422,
Santa Cruz de Paniagua,25,22379.0644284,14128.920433282445,1.583918922473603,
Santa Marta de Magasca,40,30451.6936773,21214.413783047494,1.435424706462266,
Robledillo de la Vera,28,7373.6643855,5124.156557749348,1.4390006047626869,
Salvatierra de Santiago,41,16923.2267329,14553.522306138242,1.162826866026947,
Santa Ana,41,23851.0969789,18031.12457395288,1.3227736784290454,
Oliva de Plasencia,29,15532.4579358,12221.696818336117,1.270892100063943,
Herrera de Alcántara,39,47174.2628975,28853.03018161156,1.6349847000667823,
Santa Cruz de la Sierra,19,15082.1903412,11668.613217975775,1.2925435147653646,
Alcollarín,36,16991.2738455,16547.432425908228,1.0268223738987357,
Viandar de la Vera,28,17638.7827815,9304.788406755408,1.895667264039448,
Millanes,34,6173.4196242,2981.800496733992,2.070366421550279,
